area;ciudad;conglomerado;vivienda;hogar;persona;s1p3;s2p1;s2p2a;s2p2b;s2p3;s2p41;s2p42;s2p43;s2p44;s2p45;s2p5;s2p6;s2p7a;s2p7b;s2p8;s2p9;s2p10a;s2p10b;s6p1a;s6p1b;s6p2;s6p3;s6p4;s6p4a;s6p4b;s6p4c;s6p4d;s7p1a;s7p1b;s7p1a1;s7p1b1;s7p1b2;s7p1b3;s7p1b4;s7p1b5;s7p1b6;s7p2;s7p211;s7p212;s7p213;s7p214;s7p3;s7p4;s7p5;s7p6;s7p71;s7p72;s7p73;s7p74;s7p75;s7p76;s7p77;s7p78;s7p79;upm;estrato;fexp;id_hogar;id_per
1;10150; 10150001903;3;1;2;27;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;2;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2;13;13;13;1;1;3;2; ; ; ; ; ; ; ; ; ;010150001903;2713;1406,62143819865;010150001903031;01015000190303102
1;10150; 10150001903;3;1;3;8;1;4;4;1;1;1;1;1;1;1;1;2; ;1;2;1;3; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;1;2;5;13;13;1;1;4;1; ; ; ; ; ; ; ; ; ;010150001903;2713;1818,72128014257;010150001903031;01015000190303103
1;10150; 10150001903;5;1;1;31;1;6;3;1;2;2;1;2;2;1;1;2; ; ; ; ; ;1;1;1;2;1;2;0;1;0;1;1;1;1;1;1;1;2;2;1;2;5;13;13;1;1;3;2; ; ; ; ; ; ; ; ; ;010150001903;2713;1406,62143819865;010150001903051;01015000190305101
1;10150; 10150001903;5;1;2;13;1;4;10;1;1;2;1;2;1;3;3;1;50;2;2;2; ;2; ;3;2;1;4;0;0;0;2; ; ; ; ; ; ; ; ;1;5;13;13;13;1;5;5;1; ; ; ; ; ; ; ; ; ;010150001903;2713;1972,67397452616;010150001903051;01015000190305102
1;10150; 10150001903;5;1;3;10;1;4;7;1;1;2;1;2;1;3;3;1;50;2;2;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;1;5;13;13;13;1;1;5;1; ; ; ; ; ; ; ; ; ;010150001903;2713;1818,72128014257;010150001903051;01015000190305103
1;10150; 10150001903;5;1;4;6;1;4;1;1;1;2;1;2;2;3;3;1;50;2;2;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;1;5;13;13;13;1;1;2;1; ; ; ; ; ; ; ; ; ;010150001903;2713;1972,67397452616;010150001903051;01015000190305104
1;10150; 10150001903;7;1;1;39;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;6;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;2;7;13;1;1;2;2; ; ; ; ; ; ; ; ; ;010150001903;2713;1439,72581126081;010150001903071;01015000190307101
1;10150; 10150001903;7;1;2;42;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;6;2; ; ; ; ;1;1;1;1;1;1;1;2;2;1;2;13;13;13;1;1;1;2; ; ; ; ; ; ; ; ; ;010150001903;2713;1406,62143819865;010150001903071;01015000190307102
1;10150; 10150001903;7;1;3;20;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;2;1;1;1;1;2;7;13;1;1;3;2; ; ; ; ; ; ; ; ; ;010150001903;2713;1406,62143819865;010150001903071;01015000190307103
1;10150; 10150001903;7;1;4;18;1;6;3;1;1;1;1;2;2;1;1;2; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;2;1;1;2;5;13;13;1;1;6;1;1;1;1;2;2;2;1;1;2;010150001903;2713;1406,62143819865;010150001903071;01015000190307104
1;10150; 10150001903;7;1;5;14;1;4;10;1;1;1;1;2;2;1;1;2; ;1;2;2; ;2; ;3;2;1;4;0;0;0;2; ; ; ; ; ; ; ; ;1;5;13;13;13;1;1;5;1; ; ; ; ; ; ; ; ; ;010150001903;2713;1818,72128014257;010150001903071;01015000190307105
1;10150; 10150001903;9;1;1;67;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150001903;2713;1439,72581126081;010150001903091;01015000190309101
1;10150; 10150001903;9;1;2;67;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;1;1;0;0;0;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150001903;2713;1406,62143819865;010150001903091;01015000190309102
1;10150; 10150001903;9;1;3;33;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;2;1;1;5;13;8;13;1;1;3;1;1;1;1;2;2;1;1;2;2;010150001903;2713;1406,62143819865;010150001903091;01015000190309103
1;10150; 10150001903;9;1;4;15;1;6;1;1;1;1;1;1;1;2;2;2; ; ; ; ; ;2; ;3;2;1;5;0;3;0;1;1;1;1;1;1;1;2;1;1;5;2;1;13;1;1;8;1;1;1;1;1;1;1;1;1;1;010150001903;2713;1439,72581126081;010150001903091;01015000190309104
1;10150; 10150001903;11;1;1;35;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1;2; ; ; ; ;1;1;1;1;1;1;1;1;2;1;10;2;13;13;2;1;1;1;1;1;1;1;2;2;2;2;2;010150001903;2713;1439,72581126081;010150001903111;01015000190311101
1;10150; 10150001903;11;1;2;33;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;2;2;1;1;2;2;2;2;2;010150001903;2713;1406,62143819865;010150001903111;01015000190311102
